attributeName,attributeDefinition,n,ECSO_ID
MSHFP3,SHFP3_AVG H,4,
MSHFP4,SHFP4_AVG H,4,
MSHFP5,SHFP5_AVG H,4,
MTEMP1,Air temperature 200cm (oC),4,
MTEMP2,Air temperature 200cm (oC),4,
MTSTAR,Friction velocity (m/s),4,
MVALIDY,Validy is sum of other valid so if all valid then validy=8,4,
n_tot,integer,4,
numHr,Hour of the day (00-23),4,
numJulian,Day of the year (001-366),4,
numLumSqm,Light (log of lumens/meter2) using Onset StowAway Light Intensity Logger,4,
numMonth,month of the year (01-12),4,
numPAR,Photosynthetic Photon Flux Density (µmol/meter2 x second) using Campbell LI-190SB Quantum Sensor,4,
numRain,Rain (mm) at 25cm height using Campbell TE525 Tipping Bucket Rain Gage,4,
numTempT,Temperature (degree Celsius) at 2 meters height using Campbell Model 107 Temperature Probe,4,
numWind,Wind (m/sec) at 30cm height using Campbell 03001 Wind Sentry,4,
numYear,The year of the recording (1998-2015),4,
Observer,Name of observer,4,
OCR_1_412nm,Radiosity of a surface per wavelength of 412nm at 5m depth,4,
OCR_1_443nm,Radiosity of a surface per wavelength of 443nm at 5m dpth,4,
OCR_1_555nm,Radiosity of a surface per wavelength of 555nm at 5m depth,4,
OCR_1_PAR,Number photons received in the 400-700nm range at 5m depth,4,
OCR_2_412nm,Radiosity of a surface per wavelength of 412nm at 10m depth,4,
OCR_2_443nm,Radiosity of a surface per wavelength of 443nm at 10m dpth,4,
OCR_2_555nm,Radiosity of a surface per wavelength of 555nm at 10m depth,4,
OCR_2_PAR,Numer photons received in the 400-700nm range at 10m depth,4,
OCR_3_412nm,Radiosity of a surface per wavelength of 412nm at 20m depth,4,
OCR_3_443nm,Radiosity of a surface per wavelength of 443nm at 20m dpth,4,
OCR_3_555nm,Radiosity of a surface per wavelength of 555nm at 20m depth,4,
OCR_3_PAR,Number photons received in the 400-700nm range at 20m depth,4,
OTUs,Operational Taxonomic Unit,4,
PA,kPA,4,
panel_temp_Avg,degC,4,
PAR_flxdens,umol/m2/s,4,
PAR_totflx,mmol/m2,4,
ParPal,Percent cover hits for Parnassia palustris,4,
pH,pH,4,
Plot,Sample plot where percent cover was measured,4,
PotEge,Percent cover hits for Potentilla egedii,4,
prdM,"Pressure, Strain Gauge [db]",4,
PRECIP,mm,4,
Pres,The pressure at the point.,4,
PriBor,Percent cover hits for Primula borealis,4,
qc_ch4_flux,"Quality flag (0-2, standard flags (0-1-2) defined by Mauder and Foken (2006), flag = 0 best quality, flag = 2 worse quality, see Goodrich et al., 2016)",4,
qc_co2_flux,"Quality flag (0-2, standard flags (0-1-2) defined by Mauder and Foken (2006), flag = 0 best quality, flag = 2 worse quality, see Goodrich et al., 2016)",4,
qc_H,"Quality flag (0-2, standard flags (0-1-2) defined by Mauder and Foken (2006), flag = 0 best quality, flag = 2 worse quality, see Goodrich et al., 2016)",4,
qc_h2o_flux,"Quality flag (0-2, standard flags (0-1-2) defined by Mauder and Foken (2006), flag = 0 best quality, flag = 2 worse quality, see Goodrich et al., 2016)",4,
qc_LE,"Quality flag (0-2, standard flags (0-1-2) defined by Mauder and Foken (2006), flag = 0 best quality, flag = 2 worse quality, see Goodrich et al., 2016)",4,
Rg,W/m2,4,
Rg_out,W/m2,4,
RH,%,4,
RNET,W/m2,4,
Sal,The salinity of the point.,4,
sal00,"Salinity, Practical [PSU]",4,
sampling_occasion,"yearly sampling occasion (1,2,3)",4,
signal_quality,unitless,4,
Site,Four-letter code of site at which data were collected,4,
Site,Four-letter code of site at which data were collected.,4,
snow_depth,m,4,
SO4,sulfate,4,
SO4_unc,"SO4 uncertainy, ""unc"" refers to the standard deviation of the measurement",4,
Species,Species and cover categories determined on plots as described above.,4,
Sr87_Sr86_unc,"Sr87_Sr86 uncertainy, ""unc"" refers to the standard deviation of the measurement",4,
Station,Distributed Biological Observatory (DBO) station code,4,
strAlaska,"Alaska timezone -8 hours from UTC:
      year (1994-2014)
      month (01-12)
      day (01-31)
      hour (00-24)",4,
strSitCom,The site and community,4,
strUTC,"Universal time constant (UTC):
      year (1994-2014)
      month (01-12)
      day (01-31)
      hour (00-24)",4,
SWC_1,m3/m3,4,
SWC_2,m3/m3,4,
T_1,Temperature at 2.5m depth,4,
T_2,Temperature at 5m dept,4,
T_3,Temperature at 7.5m depth,4,
T_4,Temperature at 10m depth,4,
T_5,Temperature at 15m depth,4,
T_6,Temperature at 20m depth,4,
T_7,Temperature at 50m depth,4,
TA_1,degC,4,
TA_2,degC,4,
TAU_c,kg/m2/s,4,
Time,"The date and time of the data, in UTC format.",4,
timestamp,Timestamp for observation,4,
Transect,Transect number,4,
treatment,"treatment label - Air warming refers to presence of an open top chamber, Soil warming refers to the winter warmed plots in which increased snow cover produces elevated soil temperatures, Air & Soil warming refers to open top chamber and increased snow depth treatments, Ambient refers to no air or soil warming treatment.",4,
Treatment,Plot treatment,4,
Treatment,The manipulated treatment,4,
TRN1,Net radiation 760cm (Wm-2),4,
TS_1,degC,4,
TS_2,degC,4,
UST,m/s,4,
UW_c,unitless,4,
VPA,kPA,4,
WD,deg,4,
WS_1,m/s,4,
WS_2,m/s,4,
year,the year measurements were take in,4,
year,year of measurement,4,
Year,"The year of percent cover measurement, format YYYY",4,
YEAR,Calendar year,4,
ZoL,meters,4,
δ18O,"delta-O-18, measure of ratio of stable isotopes oxygen-18. permille",4,
0.05,Recorded temperature in celsius by the logger at 0.05 meters depth,3,
0.45,Recorded temperature in celsius by the logger at 0.45 meters depth,3,
0.63,Recorded temperature in celsius by the logger at 0.63 meters depth,3,
1,Recorded temperature in celsius by the logger at 1 meters depth,3,
1.95,Recorded temperature in celsius by the logger at 1.95 meters depth,3,
2.2,Recorded temperature in celsius by the logger at 2.2 meters depth,3,
20 cm DT,Dry-bulb air temperature at 20 cm AGL,3,
20 cm WT,Wet-bulb air temperature at 20 cm AGL,3,
3.2,Recorded temperature in celsius by the logger at 3.2 meters depth,3,
4.2,Recorded temperature in celsius by the logger at 4.2 meters depth,3,
5.2,Recorded temperature in celsius by the logger at 5.2 meters depth,3,
50 cm DT,Dry-bulb air temperature at 50 cm AGL,3,
50 cm WT,Wet-bulb air temperature at 50 cm AGL,3,
6.2,Recorded temperature in celsius by the logger at 6.2 meters depth,3,
7.2,Recorded temperature in celsius by the logger at 7.2 meters depth,3,
8.45,Recorded specific conductance in micro-Siemens per centimeter by the logger at 8.45 meters depth,3,
9.45,Recorded specific conductance in micro-Siemens per centimeter by the logger at 9.45 meters depth,3,
age,Age in years before 1950.,3,
AirT,Air temperature at the time of measurement,3,
Al_ng_g,Aluminum concentration in ice core sample,3,
ALBEDOM,Albedo,3,
ALGAE,Algae cover in % standing,3,
altM,Altimeter [m],3,
ASPECT,Aspect of plot,3,
Ave. u,Average ground heat flux,3,
Ba_ng_g,Barium concentration in ice core sample,3,
BARE_SOIL ,Bare soil cover percentage,3,
base_depth,base depth of sediment sample (core drive depth),3,
Base_Depth,base depth of sediment sample (core drive depth),3,
Biomass.Category,growth category of the biomass sample,3,
block,experimental block,3,
Bottle,Bottle number,3,
Br_ng_g,Bromine concentration in ice core sample,3,
c0mS/cm,Conductivity [mS/cm],3,
c1mS/cm,"Conductivity, 2 [mS/cm]",3,
Ca_ng_g,Calcium concentration in ice core sample,3,
Category,Species category,3,
Cd_ng_g,Cadmium concentration in ice core sample,3,
Ce_ng_g,Cerium concentration in ice core sample,3,
Cl_ng_g,Chlorine concentration in ice core sample,3,
Comments,Comments,3,
COMMENTS,these are comments regarding specific data points,3,
Composite_Depth,Master Composite Depth in cm,3,
cond_rel,Conductivity - electrolyte resistance,3,
Conductivity,"the degree to which a specified material conducts electricity, calculated as the ratio of the current density in the material to the electric field that causes the flow of current",3,
core,specific core drive included in the MCD and sampled,3,
Corr. H,Sensible heat flux,3,
Corr.H,Sensible heat flux,3,
Cover,Braun-Blanquet categorical species cover abundance values,3,
Cr_ng_g,Chromium concentration in ice core sample,3,
CRUSTOSE_LICHEN,Crustose lichen cover in %,3,
Cs_ng_g,Caesium concentration in ice core sample,3,
d18O_permil,"delta-O-18, ratio of the stable isotopes oxygen-18 and oxygen-16",3,
date,Sampling date,3,
Date,Date of sample collection,3,
DATE,date in DD-MMM-YYYY format,3,
DATE/TIME,Date and time (UTC) sample was collected,3,
DEAD_MOSS_DEPTH,Depth of dead moss,3,
DECIDUOUS_SHRUBS_DEAD,Deciduous shrub cover in % standing dead,3,
DECIDUOUS_SHRUBS_LIVE,Deciduous shrub cover in % live,3,
depSM,"Depth [salt water, m]",3,
DEPTH_LB,Lower bound depth of soil sample,3,
DEPTH_UB,Upper bound depth of soil sample,3,
DISTANCE_FROM_ROAD,Distance from the road in meters,3,
DISTURBANCE_DEGREE,Degree of animal and human disturbance,3,
DISTURBANCE_TYPE,Type of animal and human disturbance,3,
DOY,day of year,3,
DRYB_GR,"No clear definition provided, but see attribute definition for DRYB_U",3,
ELEVATION,Elevation measured using topographic survey instruments,3,
ERECT_DWARF_SHRUBS_LIVE,Erect dwarf shrub cover in % live,3,
ERECT_FORBS_DEAD,Erect forb cover in % standing dead,3,
ERECT_FORBS_LIVE,Erect forb cover in % standing live,3,
ESTIMATED_SNOW_DURATION,Estimated duration of snow at the site,3,
EVERGEEN_SHRUBS_DEAD,Evergreen shrub cover in % standing dead,3,
EVERGEEN_SHRUBS_LIVE,Evergreen shrub cover in % live,3,
EXPOSURE,Wind exposure scale,3,
fence,snow fence replicate number,3,
FOLIOSE_LICHEN,Foliose lichen cover in %,3,
FRN1,Net radiation (Wm-2),3,
GLACIAL_GEOLOGY,Glacial geology of site,3,
GMC,Gravimetric moisture content (%) of soil samples from boreholes drilled in ice-wedge polygonal centers ,3,
h_mean_mm,Mean stem height measurement (average of h1:h10),3,
h1,Stem height measurement 1 from 85 cm x 85 cm plot,3,
H1_QVM,Organic water content using hinzmans polynomial calibration,3,
h10,Stem height measurement 10 from 85 cm x 85 cm plot,3,
h2,Stem height measurement 2 from 85 cm x 85 cm plot,3,
H2_QVM,Organic water content using hinzmans polynomial calibration,3,
h202_uM,Hydrogen peroxide concentration,3,
h3,Stem height measurement 3 from 85 cm x 85 cm plot,3,
H3_QVM,Organic water content using hinzmans polynomial calibration,3,
h4,Stem height measurement 4 from 85 cm x 85 cm plot,3,
H4_QVM,Organic water content using hinzmans polynomial calibration,3,
h5,Stem height measurement 5 from 85 cm x 85 cm plot,3,
h6,Stem height measurement 6 from 85 cm x 85 cm plot,3,
h7,Stem height measurement 7 from 85 cm x 85 cm plot,3,
h8,Stem height measurement 8 from 85 cm x 85 cm plot,3,
h9,Stem height measurement 9 from 85 cm x 85 cm plot,3,
HERBACEOUS_HEIGHT,Height of herbaceous plants in cm above water or soil,3,
hno3_uM,Nitric Acid concentration,3,
KDOWNM,Epply shortwave radiation IN (Wm-2),3,
KUPM,Epply shortwave radiation OUT (Wm-2),3,
La_ng_g,Lanthunum concentration in ice core sample,3,
LALBEDOM,Longwave albedo,3,
LANDFORM,Type of landform of site,3,
Latitude,The latitudinal coordinates of the observation.,3,
LATITUDE ,Measured using topographic survey instruments. Coordinates use the World Geodetic System 1984 (WGS84) datum,3,
LDOWNM,Epply Longwave IN (Wm-2),3,
LITTER ,Litter cover percentage,3,
LIVE_MOSS_HEIGHT,Height of live moss,3,
Local_time,local time,3,
Longitude,The longitudinal coordinates of the observation.,3,
LONGITUDE,Measured using topographic survey instruments. Coordinates use the World Geodetic System 1984 (WGS84) datum,3,
LOW_SHRUBS_DEAD,Low shrub cover in % standing dead,3,
LOW_SHRUBS_LIVE,Low shrub cover in % live,3,
LUPM,Epply Longwave OUT (Wm-2),3,
MAT_AND_CUSHION_FORBS_DEAD,Mat and cushion forb cover in % standing dead,3,
MAT_AND_CUSHION_FORBS_LIVE,Mat and cushion forb cover in % live,3,
MEAN_THAW_DEPTH,Thaw depth mean,3,
Mg_ng_g,Magnesium concentration in ice core sample,3,
MICRORELIEF,Centimeters of microrelief,3,
Mid_Point,mid point of top+base depth /2,3,
mid-point,mid point of top+base depth /2,3,
Mn_ng_g,Manganese concentration in ice core sample,3,
Na_ng_g,sodium concentration in ice core sample,3,
name,Name of stream or river.,3,
Nd_ng_g,Neodymium concentration in ice core sample,3,
nh4_uM,Ammonium concentration,3,
NON_TUSSOCK_GRAMINOIDS_DEAD,Non- tussock graminoid cover in % standing dead,3,
NON_TUSSOCK_GRAMINOIDS_LIVE,Non- tussock graminoid cover in % live,3,
OBSERVER_ONE,Initials of the first observer,3,
OBSERVER_TWO,Initials of the second observer,3,
Ocean Pressure (dB) at Sensor #1,"Ocean Pressure, with Nominal Depth 20.0 m",3,
Ocean Pressure (dB) at Sensor #2,"Ocean Pressure, with Nominal Depth 40.0 m",3,
Ocean Pressure (dB) at Sensor #3,"Ocean Pressure, with Nominal Depth 60.0 m",3,
Outside_plot,* indicates cover is outside of the plot,3,
PANELTM,CR10X panel temperature (oC),3,
par,"PAR/Irradiance, Biospherical/Licor",3,
PARM,Licor PAR sensor (umol.m-2.s-1),3,
Pb_ng_g,Lead concentration in ice core sample,3,
PHYSICAL_STABILITY,Stability of site,3,
PLEUROCARPOUS_BRYOPHYTES,Pleurocarpous bryophytes cover in %,3,
Plot_ID,Name of study plot,3,
Plot_limit_corr,Corrected plot limit values calculated in GIS,3,
PLOT_PHOTO_NUMBER,Number label of plot photo taken from roadside,3,
POLYGON_CENTER_OR_TROUGH,Photopoints in polygon centers and troughs,3,
PROSTRATE_DWARF_SHRUBS_DEAD,Prostrate dwarf shrub cover in % standing dead,3,
PROSTRATE_DWARF_SHRUBS_LIVE,Prostrate dwarf shrub cover in % live,3,
PYM,Licor silicon pyranometer (Wm-2),3,
Rb_ng_g,Rubidium concentration in ice core sample,3,
Resolution,resolution of sampling based on MCD,3,
RH1M,Adjusted for over high Relative humidity %,3,
RH2M,Relative humidity %,3,
RN1M,REBS Net radiometer number 1 (Wm-2),3,
RN2M,REBS Net radiometer number 2 (Wm-2),3,
RN3M,REBS Net radiometer number 3 (Wm-2),3,
Rnet_NWC_AVG,Net radiation not wind corrected,3,
Rnet_WC_AVG,Net radiation wind corrected,3,
ROCKS ,Rock cover percentage,3,
S_ng_g,Sulfur concentration in ice core sample,3,
S10,"Readings from sensor 10, see plant_information.csv for more information",3,
S11,"Readings from sensor 11, see plant_information.csv for more information",3,
S12,"Readings from sensor 12, see plant_information.csv for more information",3,
S13,"Readings from sensor 13, see plant_information.csv for more information",3,
S14,"Readings from sensor 14, see plant_information.csv for more information",3,
S15,"Readings from sensor 15, see plant_information.csv for more information",3,
S16,"Readings from sensor 16, see plant_information.csv for more information",3,
S3,"Readings from sensor 3, see plant_information.csv for more information",3,
S4,"Readings from sensor 4, see plant_information.csv for more information",3,
S5,"Readings from sensor 5, see plant_information.csv for more information",3,
S7,"Readings from sensor 7, see plant_information.csv for more information",3,
S8,"Readings from sensor 8, see plant_information.csv for more information",3,
S9,"Readings from sensor 9, see plant_information.csv for more information",3,
sal11,"Salinity, Practical, 2 [PSU]",3,
Salinity,The salinity at the coordinates.,3,
Sample,Sample identifier,3,
sbeox0ML/L,"Oxygen, SBE 43 [ml/l]",3,
scan,Scan Count,3,
SHF1M,Soil heat flux plate buried at depth number 1 (Wm-2),3,
SHF2M,Soil heat flux plate buried at depth number 2 (Wm-2),3,
SHF3M,Soil heat flux plate buried at depth number 3 (Wm-2),3,
SHF4M,Soil heat flux plate buried at depth number 4 (Wm-2),3,
SHF5M,Soil heat flux plate buried at depth number 5 (Wm-2),3,
